Movie_name,Release_year,Movie_rating,Movie_genre,Metascore,Movie_runtime,Director of movie
Hell Fest,(2018),5.5,"Horror, Thriller",26,89 min,Gregory Plotkin
The Gift,(2000),6.6,"Drama, Fantasy, Horror",62,111 min,Sam Raimi
1408,(2007),6.8,"Fantasy, Horror, Mystery",64,104 min,Mikael Håfström
House of Wax,(2005),5.3,"Horror, Thriller",41,113 min,Jaume Collet-Serra
Gothika,(2003),5.8,"Horror, Mystery, Thriller",38,98 min,Mathieu Kassovitz
Piranha,(1978),5.9,"Comedy, Horror, Sci-Fi",71,94 min,Joe Dante
Pet Sematary,(1989),6.6,"Fantasy, Horror, Thriller",38,103 min,Mary Lambert
The Wretched,(2019),5.8,"Horror, Mystery",61,95 min,Brett Pierce
Planet Terror,(2007),7.1,"Action, Adventure, Comedy",NA,105 min,Robert Rodriguez
The Texas Chainsaw Massacre,(2003),6.2,"Crime, Horror",38,98 min,Marcus Nispel
Jaws: The Revenge,(1987),3.0,"Adventure, Horror, Thriller",15,89 min,Joseph Sargent
Priest,(2011),5.7,"Action, Horror, Thriller",41,87 min,Scott Stewart
Once Bitten,(1985),5.6,"Comedy, Drama, Fantasy",64,94 min,Howard Storm
Suspiria,(1977),7.4,Horror,79,92 min,Dario Argento
The Perfection,(2018),6.1,"Drama, Horror, Music",60,90 min,Richard Shepard
Paranormal Activity,(2007),6.3,"Horror, Mystery",68,86 min,Oren Peli
Funny Games,(2007),6.6,"Crime, Drama, Horror",44,111 min,Michael Haneke
Army of Darkness,(1992),7.5,"Comedy, Fantasy, Horror",59,81 min,Sam Raimi
Scream 4,(2011),6.1,"Horror, Mystery",52,111 min,Wes Craven
Candyman,(1992),6.6,"Horror, Thriller",61,99 min,Bernard Rose
The Room,(2019),6.0,"Drama, Horror, Mystery",NA,100 min,Christian Volckman
The VelociPastor,(2018),5.1,"Action, Adventure, Comedy",NA,75 min,Brendan Steere
Texas Chainsaw,(2013),4.8,"Horror, Thriller",NA,92 min,John Luessenhop
The Grudge,(2020),4.3,"Fantasy, Horror, Mystery",41,94 min,Nicolas Pesce
The Return of the Living Dead,(1985),7.3,"Comedy, Horror, Sci-Fi",66,91 min,Dan O'Bannon
The Fog,(1980),6.8,"Horror, Thriller",55,89 min,John Carpenter
Annabelle: Creation,(2017),6.5,"Horror, Mystery, Thriller",62,109 min,David F. Sandberg
Slither,(2006),6.5,"Comedy, Horror, Sci-Fi",69,95 min,James Gunn
SAW 2,(2005),6.6,"Horror, Mystery",40,93 min,Darren Lynn Bousman
The Owners,(2020),4.8,"Action, Horror, Thriller",54,92 min,Julius Berg
Pandorum,(2009),6.7,"Action, Horror, Mystery",28,108 min,Christian Alvart
Fright Night,(2011),6.4,"Comedy, Horror",64,106 min,Craig Gillespie
Annabelle,(I) (2014),5.4,"Horror, Mystery, Thriller",37,99 min,John R. Leonetti
Deliver Us from Evil,(I) (2014),6.2,"Action, Adventure, Biography",40,118 min,Scott Derrickson
Attack on Titan: Chronicle,(2020),8.1,"Animation, Action, Adventure",NA,122 min,Masashi Koizuka
Trauma,(II) (2017),5.2,"Action, Drama, Horror",NA,106 min,Lucio A. Rojas
The Monster Squad,(1987),7.1,"Action, Comedy, Fantasy",61,79 min,Fred Dekker
Creep,(I) (2014),6.3,"Horror, Thriller",74,77 min,Patrick Brice
Scooby-Doo 2: Monsters Unleashed,(2004),5.1,"Adventure, Comedy, Family",34,93 min,Raja Gosnell
Lake Placid,(1999),5.7,"Action, Comedy, Horror",34,82 min,Steve Miner
Black Death,(2010),6.4,"Action, Adventure, Drama",71,102 min,Christopher Smith
What Lies Beneath,(2000),6.6,"Drama, Horror, Mystery",51,130 min,Robert Zemeckis
The Crazies,(2010),6.5,"Adventure, Fantasy, Horror",56,101 min,Breck Eisner
Hollow Man,(2000),5.8,"Action, Horror, Sci-Fi",24,112 min,Paul Verhoeven
Haunt,(I) (2019),6.3,"Horror, Thriller",69,92 min,Scott Beck
Morgan,(2016),5.8,"Action, Horror, Sci-Fi",48,92 min,Luke Scott
28 Weeks Later,(2007),7.0,"Drama, Horror, Sci-Fi",78,100 min,Juan Carlos Fresnadillo
Circle,(II) (2015),6.0,"Drama, Horror, Mystery",NA,87 min,Aaron Hann
Jigsaw,(I) (2017),5.8,"Crime, Horror, Mystery",39,92 min,Michael Spierig
Pi,(1998),7.4,"Drama, Horror, Mystery",72,84 min,Darren Aronofsky
In the Tall Grass,(2019),5.4,"Horror, Mystery, Thriller",46,101 min,Vincenzo Natali
Roohi,(2021),,"Comedy, Horror",NA,,Hardik Mehta
Hostel: Part II,(2007),5.5,"Horror, Thriller",46,94 min,Eli Roth
Gremlins 2: The New Batch,(1990),6.4,"Comedy, Fantasy, Horror",69,106 min,Joe Dante
The Haunting in Connecticut,(2009),5.9,"Drama, Horror, Mystery",33,92 min,Peter Cornwell
Forgotten,(2017),7.4,"Horror, Mystery, Thriller",NA,108 min,Hang-jun Jang
The Island of Dr. Moreau,(1996),4.6,"Horror, Sci-Fi, Thriller",NA,96 min,John Frankenheimer
Drag Me to Hell,(2009),6.5,Horror,83,99 min,Sam Raimi
The Omen,(1976),7.5,Horror,62,111 min,Richard Donner
Spring,(I) (2014),6.7,"Horror, Romance, Sci-Fi",70,109 min,Justin Benson
The People Under the Stairs,(1991),6.4,"Comedy, Horror, Mystery",57,102 min,Wes Craven
Freddy vs. Jason,(2003),5.7,"Action, Horror",37,97 min,Ronny Yu
Don't Let Go,(2019),6.3,"Drama, Horror, Mystery",49,103 min,Jacob Estes
Nightbreed,(1990),6.6,"Action, Fantasy, Horror",40,102 min,Clive Barker
Blumhouse's Truth Or Dare,(I) (2018),5.2,"Horror, Thriller",35,100 min,Jeff Wadlow
PIRANHA 3DD,(2012),3.7,"Comedy, Horror",24,83 min,John Gulager
Hellboy II: The Golden Army,(2008),7.0,"Action, Adventure, Fantasy",78,120 min,Guillermo del Toro
Child's Play,(2019),5.8,"Drama, Horror, Sci-Fi",48,90 min,Lars Klevberg
John Wick: Chapter 4,(2022),,"Action, Crime, Horror",NA,,Chad Stahelski
The Boy,(2016),6.0,"Horror, Mystery, Thriller",42,97 min,William Brent Bell
King Kong,(1933),7.9,"Adventure, Horror, Sci-Fi",90,100 min,Merian C. Cooper
Scream 2,(1997),6.2,"Horror, Mystery",63,120 min,Wes Craven
No Reasons,(2021),3.5,"Drama, Horror, Thriller",NA,131 min,Spencer Hawken
Ghost Ship,(2002),5.5,Horror,28,91 min,Steve Beck
Eli,(I) (2019),5.7,"Drama, Horror, Mystery",NA,98 min,Ciarán Foy
DEAD ZONE,(1983),7.2,"Drama, Horror, Sci-Fi",69,103 min,David Cronenberg
1BR,(2019),5.8,"Drama, Horror, Thriller",56,90 min,David Marmor
Bacurau,(2019),7.4,"Adventure, Horror, Mystery",82,131 min,Juliano Dornelles
Malignant,(I) (2021),,Horror,NA,,James Wan
Nurse 3D,(2013),4.5,"Horror, Thriller",29,84 min,Douglas Aarniokoski
Blade,,,"Action, Adventure, Fantasy",NA,,Rob Zombie
House of 1000 Corpses,(2003),6.1,Horror,31,89 min,James Watkins
The Woman in Black,(2012),6.4,"Drama, Fantasy, Horror",62,95 min,Kevin Kölsch
Pet Sematary,(2019),5.7,"Horror, Mystery, Thriller",57,101 min,Robin Hardy
The Wicker Man,(1973),7.5,"Horror, Mystery, Thriller",87,88 min,Mark Polonia
Virus Shark,(2021),,Horror,NA,74 min,Julia Ducournau
Raw,(2016),7.0,"Drama, Fantasy, Horror",81,99 min,Tobe Hooper
Lifeforce,(1985),6.2,"Action, Horror, Mystery",50,101 min,Bartosz M. Kowalski
Nobody Sleeps in the Woods Tonight,(2020),4.8,"Horror, Thriller",NA,102 min,Marc Fehse
Sky Sharks,(2020),3.9,"Comedy, Horror, Sci-Fi",NA,110 min,Luis Llosa
Anaconda,(1997),4.8,"Action, Adventure, Horror",37,89 min,Jamie Blanks
Urban Legend,(1998),5.6,"Horror, Mystery, Thriller",35,99 min,Christopher Landon
Happy Death Day 2U,(2019),6.2,"Comedy, Horror, Mystery",57,100 min,Robert Hiltzik
Sleepaway Camp,(1983),6.3,Horror,58,84 min,Rob Zombie
The Devil's Rejects,(2005),6.8,Horror,53,107 min,Paul W.S. Anderson
Resident Evil: Retribution,(2012),5.4,"Action, Horror, Sci-Fi",39,95 min,Jeffrey A. Brown
The Beach House,(II) (2019),5.3,"Drama, Horror, Mystery",64,88 min,James Watts
Death Trip,(2021),3.3,"Horror, Thriller",NA,101 min,Peter Jackson
The Frighteners,(1996),7.1,"Comedy, Fantasy, Horror",52,110 min,Andy Muschietti
Mama,(I) (2013),6.2,"Horror, Thriller",57,100 min,Rupert Wyatt
Captive State,(2019),6.0,"Action, Horror, Sci-Fi",54,109 min,Kiyoshi Kurosawa
Kairo,(2001),6.6,"Horror, Mystery, Sci-Fi",70,119 min,John Carpenter
In the Mouth of Madness,(1994),7.2,"Drama, Horror, Mystery",53,95 min,James DeMonaco
The Purge: Anarchy,(2014),6.4,"Action, Adventure, Horror",50,103 min,Brea Grant
12 Hour Shift,(2020),5.3,"Comedy, Horror, Thriller",63,86 min,Carter Smith
The Ruins,(2008),5.9,"Adventure, Fantasy, Horror",44,90 min,Keenen Ivory Wayans
Scary Movie 2,(2001),5.3,"Comedy, Horror",29,83 min,David Cronenberg
Dead Ringers,(1988),7.3,"Drama, Horror, Thriller",86,116 min,Kevin Greutert
SAW: The Final Chapter,(2010),5.6,"Crime, Horror, Mystery",24,90 min,Meir Zarchi
I Spit on Your Grave,(1978),5.7,"Horror, Thriller",19,101 min,Matt Bettinelli-Olpin
V/H/S,(2012),5.8,"Horror, Thriller",55,116 min,Tom Holland
Child's Play,(1988),6.6,"Fantasy, Horror, Thriller",58,87 min,Teddy Grennan
Ravage,(2019),4.9,"Horror, Thriller",NA,84 min,Neasa Hardiman
Sea Fever,(2019),5.8,"Drama, Horror, Mystery",60,95 min,Tod Williams
Cell,(I) (2016),4.4,"Action, Adventure, Horror",38,98 min,Tommy Wirkola
Hansel & Gretel: Witch Hunters,(2013),6.1,"Action, Fantasy, Horror",23,88 min,Andrew Traucki
Black Water: Abyss,(2020),4.5,"Action, Drama, Horror",46,98 min,Mark A.Z. Dippé
Spawn,(1997),5.3,"Action, Drama, Horror",34,96 min,George A. Romero
Dawn of the Dead,(1978),7.9,"Action, Adventure, Horror",71,127 min,René Cardona Jr.
Tintorera: Killer Shark,(1977),4.1,"Drama, Horror, Romance",NA,126 min,Takashi Miike
Audition,(1999),7.2,"Drama, Horror, Mystery",69,115 min,John Carpenter
Village of the Damned,(1995),5.7,"Horror, Sci-Fi, Thriller",41,98 min,Jonas Åkerlund
Lords of Chaos,(2018),6.5,"Biography, Drama, Horror",48,118 min,Jeremy Gardner
After Midnight,(2019),5.4,"Drama, Horror, Sci-Fi",55,83 min,Eli Craig
Tucker and Dale vs Evil,(2010),7.5,"Comedy, Horror",65,89 min,Kenneth Branagh
Frankenstein,(1994),6.4,"Drama, Horror, Romance",NA,123 min,Todd Strauss-Schulson
The Final Girls,(2015),6.6,"Comedy, Drama, Fantasy",59,91 min,Hideo Nakata
Dark Water,(2002),6.7,"Drama, Horror, Mystery",NA,101 min,John Erick Dowdle
The Poughkeepsie Tapes,(2007),6.0,"Horror, Mystery, Thriller",NA,81 min,Paul W.S. Anderson
Resident Evil: Afterlife,(2010),5.8,"Action, Adventure, Horror",37,96 min,Kourosh Ahari
The Night,(2020),5.5,"Horror, Mystery, Thriller",68,105 min,Richard Bates Jr.
Excision,(2012),6.1,"Comedy, Drama, Horror",NA,81 min,Tommy O'Haver
An American Crime,(2007),7.3,"Biography, Crime, Drama",NA,98 min,Niels Arden Oplev
Flatliners,(2017),5.2,"Drama, Horror, Mystery",27,109 min,Steven Quale
Final Destination 5,(2011),5.8,"Action, Fantasy, Horror",50,92 min,George A. Romero
Night of the Living Dead,(1968),7.9,"Horror, Thriller",89,96 min,Jeff Nichols
Take Shelter,(2011),7.4,"Drama, Horror, Thriller",85,120 min,Steven Soderbergh
Unsane,(2018),6.4,"Drama, Horror, Mystery",63,98 min,Peter Jackson
Braindead,(1992),7.5,"Comedy, Fantasy, Horror",54,104 min,Jarand Herdal
Cadaver,(2020),5.1,"Drama, Horror, Thriller",NA,86 min,Darren Lynn Bousman
Saw III,(2006),6.2,"Crime, Horror, Mystery",48,108 min,Jen Soska
American Mary,(2012),6.3,"Drama, Horror",46,103 min,Mike Flanagan
Oculus,(2013),6.5,"Horror, Mystery",61,104 min,Joe Dante
Twilight Zone: The Movie,(1983),6.5,"Horror, Sci-Fi",44,101 min,Ivan Kavanagh
Son,(2021),,"Horror, Thriller",NA,98 min,Samuel Bayer
A Nightmare On Elm Street,(2010),5.2,"Crime, Drama, Horror",35,95 min,Jan de Bont
The Haunting,(1999),5.0,"Fantasy, Horror, Mystery",42,113 min,Tom Holland
Fright Night,(1985),7.1,"Fantasy, Horror, Thriller",62,106 min,Wes Craven
Scream 3,(2000),5.6,"Horror, Mystery",56,116 min,David Cronenberg
Scanners,(1981),6.8,"Horror, Sci-Fi, Thriller",60,103 min,Joachim Trier
Thelma,(2017),7.0,"Drama, Fantasy, Horror",74,116 min,Ben Howling
Cargo,(I) (2017),6.3,"Drama, Horror, Sci-Fi",65,105 min,Marcus Dunstan
The Collector,(I) (2009),6.4,"Action, Crime, Horror",29,90 min,Johannes Roberts
47 Meters Down,(2017),5.7,"Adventure, Drama, Horror",52,89 min,Patrick Lussier
Wes Craven Presents: Dracula 2000,(2000),4.9,"Action, Fantasy, Horror",26,99 min,Jeremy Gillespie
The Void,(I) (2016),5.9,"Horror, Mystery, Sci-Fi",62,90 min,George P. Cosmatos
Leviathan,(1989),5.8,"Adventure, Horror, Mystery",51,98 min,Rahi Anil Barve
Tumbbad,(2018),8.3,"Drama, Fantasy, Horror",NA,104 min,Jaume Balagueró
REC,(2007),7.4,"Action, Adventure, Fantasy",69,78 min,Eli Roth
Cabin Fever,(2002),5.7,"Drama, Horror",56,93 min,James Wong
Final Destination 3,(2006),5.8,"Action, Crime, Horror",41,93 min,Marc Meyers
We Summon the Darkness,(2019),5.2,"Horror, Music, Thriller",55,91 min,Chris Kentis
Silent House,(2011),5.2,"Drama, Horror, Mystery",49,86 min,Mike Nichols
Wolf,(1994),6.3,"Drama, Horror, Romance",NA,125 min,Peter Hyams
End of Days,(1999),5.8,"Action, Fantasy, Horror",33,122 min,Rob Zombie
Halloween,(2007),6.1,Horror,47,109 min,Colm McCarthy
The Girl with All the Gifts,(2016),6.6,"Action, Adventure, Drama",67,111 min,David R. Ellis
Final Destination 2,(2003),6.2,"Horror, Thriller",38,90 min,Damien Leone
Terrifier,(2016),5.6,"Horror, Thriller",NA,82 min,Fritz Kiersch
Children of the Corn,(1984),5.7,"Horror, Thriller",45,92 min,Brandon Christensen
Z,(I) (2019),5.5,"Horror, Mystery, Thriller",63,83 min,Takashi Shimizu
Flight 7500,(2014),4.8,"Drama, Family, Horror",NA,80 min,Darren Lynn Bousman
Saw IV,(2007),5.9,"Crime, Horror, Mystery",36,93 min,Russell Mulcahy
Resident Evil: Extinction,(2007),6.3,"Action, Horror, Sci-Fi",41,94 min,Chuck Russell
A Nightmare on Elm Street 3: Dream Warriors,(1987),6.6,"Fantasy, Horror",49,96 min,Daniel Goldhaber
Cam,(2018),5.9,"Drama, Horror, Mystery",71,94 min,Adam Robitel
Insidious: The Last Key,(2018),5.7,"Horror, Mystery, Thriller",49,103 min,Rob Letterman
Goosebumps,(2015),6.3,"Adventure, Comedy, Family",60,103 min,James Wan
Insidious: Chapter 2,(2013),6.6,"Horror, Mystery, Thriller",40,106 min,Ishirô Honda
Gojira,(1954),7.6,"Action, Horror, Sci-Fi",78,96 min,Chris Peckover
Better Watch Out,(II) (2016),6.5,"Comedy, Horror, Thriller",67,89 min,Johnny Martin
Alone,(XXI) (2020),4.9,"Horror, Thriller",NA,92 min,J.A. Bayona
The Orphanage,(2007),7.4,"Drama, Fantasy, Horror",74,105 min,Steve Miner
House,(1985),6.2,"Comedy, Fantasy, Horror",44,93 min,Ray Dennis Steckler
Blood Shack,(1971),2.6,Horror,NA,55 min,Lawrence Kasdan
Dreamcatcher,(2003),5.5,"Drama, Horror, Sci-Fi",35,134 min,Joe Alves
Jaws 3,(1983),3.7,"Adventure, Horror, Thriller",27,99 min,Martin Weisz
The Hills Have Eyes 2,(2007),5.1,"Action, Adventure, Horror",32,89 min,Timur Bekmambetov
Abraham Lincoln: Vampire Hunter,(2012),5.9,"Action, Fantasy, Horror",42,105 min,Mike Flanagan
Before I Wake,(2016),6.2,"Drama, Fantasy, Horror",68,97 min,Stuart Gordon
Re-Animator,(1985),7.2,"Comedy, Horror, Sci-Fi",73,104 min,Chuck Russell
The Blob,(1988),6.5,"Horror, Sci-Fi, Thriller",NA,95 min,Brian Yuzna
Society,(1989),6.6,"Comedy, Horror",NA,99 min,Paco Plaza
Verónica,(I) (2017),6.2,Horror,NA,105 min,Zu Quirke
Nocturne,(II) (2020),5.7,"Horror, Mystery, Thriller",58,90 min,David Cronenberg
Videodrome,(1983),7.2,"Horror, Sci-Fi, Thriller",60,87 min,Kathryn Bigelow
Near Dark,(1987),7.0,"Action, Crime, Drama",76,94 min,Justin P. Lange
The Seventh Day,(2021),,Horror,NA,,Takashi Shimizu
The Grudge,(2004),5.9,"Horror, Mystery, Thriller",49,91 min,Adam Robitel
The Taking of Deborah Logan,(2014),6.0,"Horror, Mystery, Thriller",NA,90 min,Steven R. Monroe
I Spit on Your Grave 2,(2013),5.7,"Action, Crime, Horror",NA,106 min,Philip Kaufman
Invasion of the Body Snatchers,(1978),7.4,"Horror, Sci-Fi",75,115 min,Fraser C. Heston
Needful Things,(1993),6.3,"Crime, Drama, Fantasy",43,120 min,François Simard
Summer of 84,(2018),6.7,"Drama, Horror, Mystery",57,105 min,Brandon Guiles
All My Friends Are Dead,(2021),,Horror,NA,,Jason William Lee
Funhouse,(2019),6.1,Horror,NA,106 min,Charles Guard
The Uninvited,(2009),6.3,"Drama, Fantasy, Horror",43,87 min,Gerard McMurray
The First Purge,(2018),5.2,"Action, Horror, Sci-Fi",54,97 min,Camilla Belle
Phobias,(2021),,"Horror, Thriller",NA,85 min,Michael Rymer
Queen of the Damned,(2002),5.3,"Drama, Fantasy, Horror",30,101 min,Malcolm D. Lee
Scary Movie V,(2013),3.5,"Comedy, Horror",11,86 min,Yûichirô Hirakawa
The Promised Neverland,(2020),4.8,"Action, Adventure, Drama",NA,119 min,Roy Ward Baker
Quatermass and the Pit,(1967),7.0,"Horror, Mystery, Sci-Fi",NA,97 min,Braden R. Duemmler
What Lies Below,(2020),4.6,"Horror, Mystery, Sci-Fi",NA,87 min,Leigh Whannell
Insidious: Chapter 3,(2015),6.1,"Horror, Mystery, Thriller",52,97 min,Nelson McCormick
Prom Night,(I) (2008),3.9,"Horror, Mystery",17,88 min,James Wan
Dead Silence,(2007),6.2,"Horror, Mystery, Thriller",34,89 min,Wes Craven
The Last House on the Left,(1972),6.0,"Crime, Horror, Thriller",68,84 min,Sam Raimi
Evil Dead II,(1987),7.8,"Action, Comedy, Fantasy",72,84 min,John Pogue
Deep Blue Sea 3,(2020),4.7,"Action, Horror, Sci-Fi",NA,100 min,Cate Shortland
Berlin Syndrome,(2017),6.3,"Drama, Horror, Mystery",70,116 min,Paul McGuigan
Victor Frankenstein,(2015),6.0,"Drama, Horror, Sci-Fi",36,110 min,Assaf Bernstein
Look Away,(2018),5.8,"Drama, Fantasy, Horror",NA,103 min,Franck Khalfoun
Maniac,(2012),6.1,"Horror, Thriller",47,89 min,Nicholas McCarthy
The Pact,(II) (2012),5.7,"Horror, Mystery, Thriller",54,89 min,Oz Perkins
The Blackcoat's Daughter,(I) (2015),5.9,"Horror, Mystery, Thriller",68,93 min,Justin Benson
Resolution,(III) (2012),6.4,"Drama, Horror, Mystery",80,93 min,Greg McLean
Wolf Creek,(2005),6.2,"Crime, Horror, Thriller",54,99 min,F.W. Murnau
Nosferatu,(1922),7.9,"Fantasy, Horror",NA,94 min,Ari Aster
Beau Is Afraid,,,Horror,NA,,Ken Russell
Altered States,(1980),6.9,"Horror, Sci-Fi, Thriller",58,102 min,Tony Giglio
Doom: Annihilation,(2019),3.6,"Action, Adventure, Horror",NA,96 min,Peter Hyams
The Relic,(1997),5.8,"Horror, Mystery, Sci-Fi",55,110 min,Johannes Roberts
The Strangers: Prey at Night,(2018),5.2,Horror,48,85 min,Kim Henkel
Texas Chainsaw Massacre: The Next Generation,(1994),3.3,"Comedy, Horror, Thriller",50,87 min,Tim Burton
Beetlejuice 2,,,"Comedy, Fantasy, Horror",NA,,James DeMonaco
The Purge: Election Year,(2016),6.0,"Action, Horror, Sci-Fi",55,108 min,David Zucker
Scary Movie 3,(2003),5.5,"Comedy, Horror",49,84 min,Frank Oz
The Stepford Wives,(2004),5.3,"Comedy, Horror, Sci-Fi",42,93 min,Tod Browning
Dracula,(1931),7.5,"Drama, Fantasy, Horror",71,75 min,Scott Stewart
Dark Skies,(2013),6.3,"Horror, Sci-Fi, Thriller",50,97 min,Alexandre Aja
High Tension,(2003),6.8,Horror,42,91 min,David S. Goyer
The Unborn,(2009),4.8,"Drama, Horror, Mystery",30,88 min,David Hackl
Saw V,(2008),5.8,"Crime, Horror, Mystery",20,92 min,Scott Derrickson
The Exorcism of Emily Rose,(2005),6.7,"Drama, Horror, Thriller",46,119 min,Terry Gilliam
The Brothers Grimm,(2005),5.9,"Action, Adventure, Comedy",51,118 min,Ana Lily Amirpour
A Girl Walks Home Alone at Night,(2014),7.0,"Drama, Horror, Romance",81,101 min,Luiso Berdejo
The New Daughter,(2009),5.3,"Horror, Thriller",NA,108 min,Severin Fiala
Goodnight Mommy,(2014),6.7,"Horror, Mystery, Thriller",81,99 min,Danishka Esterhazy
The Banana Splits Movie,(2019),5.0,"Comedy, Horror, Sci-Fi",NA,89 min,Oz Rodriguez
Vampires vs. the Bronx,(2020),5.6,"Comedy, Horror",76,85 min,Olatunde Osunsanmi
The Fourth Kind,(2009),5.9,"Horror, Mystery, Sci-Fi",34,98 min,Rob Zombie
3 from Hell,(2019),5.5,"Action, Horror",50,115 min,Michael Spierig
Winchester,(2018),5.5,"Biography, Drama, Fantasy",28,99 min,Lewis Teague
Cujo,(1983),6.1,"Horror, Thriller",57,93 min,Donato Carrisi
Into the Labyrinth,(2019),5.6,"Horror, Mystery, Thriller",NA,130 min,David R. Ellis
The Final Destination,(2009),5.2,"Action, Fantasy, Horror",30,82 min,George A. Romero
Day of the Dead,(1985),7.2,"Horror, Thriller",60,96 min,William Brent Bell
Brahms: The Boy II,(2020),4.6,"Drama, Horror, Mystery",29,86 min,Ant Timpson
Come to Daddy,(2019),6.0,"Comedy, Horror, Mystery",64,96 min,Amy Seimetz
She Dies Tomorrow,(2020),5.2,"Comedy, Drama, Fantasy",80,86 min,M.J. Bassett
Silent Hill: Revelation,(2012),5.0,"Fantasy, Horror",16,95 min,Måns Mårlind
Underworld Awakening,(2012),6.4,"Action, Fantasy, Horror",39,88 min,Greg McLean
The Belko Experiment,(2016),6.1,"Horror, Thriller",44,89 min,John Carpenter
Prince of Darkness,(1987),6.7,Horror,50,102 min,Adam Wingard
Blair Witch,(2016),5.0,"Horror, Mystery, Thriller",47,89 min,Sylvain White
Slender Man,(2018),3.2,"Horror, Mystery, Thriller",30,93 min,Brannon Braga
Books of Blood,(2020),5.6,"Drama, Horror, Mystery",42,107 min,Stephen Chiodo
Killer Klowns from Outer Space,(1988),6.2,"Comedy, Horror, Sci-Fi",43,88 min,Stephen Sommers
Deep Rising,(1998),6.1,"Action, Adventure, Horror",NA,106 min,Antonia Johnstone
Rise of the Mummy,(2021),3.0,Horror,NA,90 min,Greg Berlanti
Little Shop of Horrors,,,"Comedy, Horror, Musical",NA,,Derek Drymon
Hotel Transylvania 4,(2021),,"Animation, Adventure, Comedy",NA,,Stephen Cognetti
Hell House LLC,(2015),6.4,"Horror, Mystery",NA,93 min,John Stockwell
Turistas,(2006),5.4,"Horror, Mystery, Thriller",36,93 min,Kevin Phillips
Super Dark Times,(2017),6.6,"Crime, Drama, Horror",75,103 min,Stuart Rosenberg
The Amityville Horror,(1979),6.3,Horror,28,117 min,Travis Stevens
Girl on the Third Floor,(2019),4.6,"Drama, Horror, Mystery",65,93 min,Tony Scott
The Hunger,(1983),6.7,"Drama, Horror",52,97 min,Steve Miner
Friday the 13th - Part II,(1981),6.1,"Horror, Mystery, Thriller",26,87 min,Robert Aldrich
What Ever Happened to Baby Jane?,(1962),8.1,"Drama, Horror, Thriller",75,134 min,Stephen Sommers
Odd Thomas,(2013),6.8,"Comedy, Fantasy, Horror",45,97 min,Stuart Gordon
From Beyond,(1986),6.7,"Horror, Sci-Fi",NA,85 min,Timothy Woodward Jr.
The Call,(VIII) (2020),4.4,"Horror, Thriller",NA,97 min,Victor Salva
Jeepers Creepers III,(2017),3.9,"Action, Horror, Mystery",NA,100 min,Phillip Noyce
Dead Calm,(1989),6.8,"Horror, Thriller",70,96 min,Brian Taylor
Mom and Dad,(2017),5.5,"Comedy, Horror, Thriller",59,86 min,Neil Marshall
Dog Soldiers,(2002),6.8,"Action, Horror, Thriller",NA,105 min,Jee-woon Kim
A Tale of Two Sisters,(2003),7.2,"Drama, Horror, Mystery",65,114 min,Joko Anwar
Impetigore,(2019),6.7,"Drama, Horror, Mystery",NA,106 min,Henry Jacobson
Bloodline,(III) (2018),6.0,"Crime, Horror, Thriller",50,97 min,Alexandre Bustillo
Leatherface,(2017),5.0,"Crime, Horror, Thriller",40,90 min,Jonathan Liebesman
The Texas Chainsaw Massacre: The Beginning,(2006),5.8,"Horror, Thriller",30,91 min,Levan Gabriadze
Unfriended,(2014),5.5,"Horror, Mystery, Thriller",59,83 min,Joseph Zito
Friday the 13th Part IV: The Final Chapter,(1984),6.0,"Horror, Thriller",33,91 min,Will Wernick
Escape Room,(II) (2017),4.2,"Horror, Thriller",NA,81 min,Jack Sholder
A Nightmare on Elm Street 2: Freddy's Revenge,(1985),5.5,Horror,43,87 min,Robert Bierman
Vampire's Kiss,(1988),6.0,"Comedy, Horror",31,103 min,Christophe Gans
Brotherhood of the Wolf,(2001),7.0,"Action, Adventure, Drama",57,142 min,Mitchell Lichtenstein
Teeth,(I) (2007),5.4,"Comedy, Fantasy, Horror",57,94 min,David Cronenberg
Existenz,(1999),6.8,"Horror, Sci-Fi, Thriller",68,97 min,Rodrigo Cortés
Red Lights,(2012),6.2,"Action, Adventure, Drama",36,114 min,Ciarán Foy
Sinister 2,(2015),5.3,"Horror, Mystery, Thriller",32,97 min,John McPhail
Anna and the Apocalypse,(2017),6.0,"Comedy, Horror, Musical",63,93 min,Henry Joost
Viral,(I) (2016),5.5,"Drama, Horror, Sci-Fi",NA,85 min,Rob Zombie
31,(2016),5.1,"Horror, Thriller",35,102 min,Ronny Yu
Bride of Chucky,(1998),5.4,"Comedy, Horror",48,89 min,David Zucker
Scary Movie 4,(2006),5.1,"Comedy, Horror",40,83 min,Sean Byrne
The Loved Ones,(2009),6.6,"Crime, Drama, Horror",73,84 min,Joe Johnston
The Wolfman,(2010),5.8,"Drama, Fantasy, Horror",43,103 min,Mike Ahern
Extra Ordinary,(2019),6.4,"Comedy, Fantasy, Horror",72,94 min,Dan Curtis
Burnt Offerings,(1976),6.5,"Horror, Mystery, Thriller",48,116 min,Rodman Flender
Idle Hands,(1999),6.2,"Comedy, Fantasy, Horror",31,92 min,Mark Jones
Leprechaun,(1993),4.8,"Comedy, Fantasy, Horror",17,92 min,John Carpenter
Vampires,(1998),6.2,"Action, Horror, Thriller",42,108 min,James Whale
Frankenstein,(1931),7.8,"Drama, Horror, Sci-Fi",91,70 min,Sean Ellis
